LAD_code,LAD_name,UTLA_code,UTLA_name,adm2,aggregated_adm2
E06000049,CHESHIRE EAST,E06000049,CHESHIRE EAST,CHESHIRE_EAST,CHESHIRE
E06000050,CHESHIRE WEST AND CHESTER,E06000050,CHESHIRE WEST AND CHESTER,CHESHIRE_WEST_AND_CHESTER,CHESHIRE
S12000005,CLACKMANNANSHIRE,S12000005,CLACKMANNANSHIRE,CLACKMANNANSHIRE,CLACKMANNANSHIRE
W06000003,CONWY,W06000003,CONWY,CONWY,CLWYD
W06000004,DENBIGHSHIRE,W06000004,DENBIGHSHIRE,DENBIGHSHIRE,CLWYD
W06000005,FLINTSHIRE,W06000005,FLINTSHIRE,FLINTSHIRE,CLWYD
W06000006,WREXHAM,W06000006,WREXHAM,WREXHAM,CLWYD
E06000052,CORNWALL,E06000052,CORNWALL,CORNWALL,CORNWALL_AND_ISLES_OF_SCILLY
E06000053,ISLES OF SCILLY,E06000053,ISLES OF SCILLY,ISLES_OF_SCILLY,CORNWALL_AND_ISLES_OF_SCILLY
E07000026,ALLERDALE,E10000006,CUMBRIA,CUMBRIA,CUMBRIA
E07000027,BARROW-IN-FURNESS,E10000006,CUMBRIA,CUMBRIA,CUMBRIA
E07000028,CARLISLE,E10000006,CUMBRIA,CUMBRIA,CUMBRIA
E07000029,COPELAND,E10000006,CUMBRIA,CUMBRIA,CUMBRIA
E07000030,EDEN,E10000006,CUMBRIA,CUMBRIA,CUMBRIA
E07000031,SOUTH LAKELAND,E10000006,CUMBRIA,CUMBRIA,CUMBRIA
E06000015,DERBY,E06000015,DERBY,DERBY,DERBYSHIRE
E07000032,AMBER VALLEY,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
E07000033,BOLSOVER,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
E07000034,CHESTERFIELD,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
E07000035,DERBYSHIRE DALES,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
E07000036,EREWASH,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
E07000037,HIGH PEAK,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
E07000038,NORTH EAST DERBYSHIRE,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
E07000039,SOUTH DERBYSHIRE,E10000007,DERBYSHIRE,DERBYSHIRE,DERBYSHIRE
N09000005,DERRY CITY AND STRABANE,N09000005,DERRY CITY AND STRABANE,DERRY_AND_STRABANE,DERRY_AND_STRABANE
E06000026,PLYMOUTH,E06000026,PLYMOUTH,PLYMOUTH,DEVON
E06000027,TORBAY,E06000027,TORBAY,TORBAY,DEVON
E07000040,EAST DEVON,E10000008,DEVON,DEVON,DEVON
E07000041,EXETER,E10000008,DEVON,DEVON,DEVON
E07000042,MID DEVON,E10000008,DEVON,DEVON,DEVON
E07000043,NORTH DEVON,E10000008,DEVON,DEVON,DEVON
E07000044,SOUTH HAMS,E10000008,DEVON,DEVON,DEVON
E07000045,TEIGNBRIDGE,E10000008,DEVON,DEVON,DEVON
E07000046,TORRIDGE,E10000008,DEVON,DEVON,DEVON
E07000047,WEST DEVON,E10000008,DEVON,DEVON,DEVON
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",BOURNEMOUTH,DORSET
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",POOLE,DORSET
E06000059,DORSET,E06000059,DORSET,DORSET,DORSET
S12000006,DUMFRIES AND GALLOWAY,S12000006,DUMFRIES AND GALLOWAY,DUMFRIES_AND_GALLOWAY,DUMFRIES_AND_GALLOWAY
S12000042,DUNDEE CITY,S12000042,DUNDEE CITY,DUNDEE,DUNDEE
E06000001,HARTLEPOOL,E06000001,HARTLEPOOL,HARTLEPOOL,DURHAM
E06000004,STOCKTON-ON-TEES,E06000004,STOCKTON-ON-TEES,STOCKTON-ON-TEES,DURHAM
E06000005,DARLINGTON,E06000005,DARLINGTON,DARLINGTON,DURHAM
E06000047,COUNTY DURHAM,E06000047,COUNTY DURHAM,DURHAM,DURHAM
S12000008,EAST AYRSHIRE,S12000008,EAST AYRSHIRE,EAST_AYRSHIRE,EAST_AYRSHIRE
S12000045,EAST DUNBARTONSHIRE,S12000045,EAST DUNBARTONSHIRE,EAST_DUNBARTONSHIRE,EAST_DUNBARTONSHIRE
S12000010,EAST LOTHIAN,S12000010,EAST LOTHIAN,EAST_LOTHIAN,EAST_LOTHIAN
S12000011,EAST RENFREWSHIRE,S12000011,EAST RENFREWSHIRE,EAST_RENFREWSHIRE,EAST_RENFREWSHIRE
E06000010,"KINGSTON UPON HULL, CITY OF",E06000010,"KINGSTON UPON HULL, CITY OF",KINGSTON_UPON_HULL,EAST_RIDING_OF_YORKSHIRE
E06000011,EAST RIDING OF YORKSHIRE,E06000011,EAST RIDING OF YORKSHIRE,EAST_RIDING_OF_YORKSHIRE,EAST_RIDING_OF_YORKSHIRE
S12000036,CITY OF EDINBURGH,S12000036,CITY OF EDINBURGH,EDINBURGH,EDINBURGH
S12000013,NA H-EILEANAN SIAR,S12000013,NA H-EILEANAN SIAR,EILEAN_SIAR,EILEAN_SIAR
E06000033,SOUTHEND-ON-SEA,E06000033,SOUTHEND-ON-SEA,SOUTHEND-ON-SEA,ESSEX
E06000034,THURROCK,E06000034,THURROCK,THURROCK,ESSEX
E07000066,BASILDON,E10000012,ESSEX,ESSEX,ESSEX
E07000067,BRAINTREE,E10000012,ESSEX,ESSEX,ESSEX
E07000068,BRENTWOOD,E10000012,ESSEX,ESSEX,ESSEX
E07000069,CASTLE POINT,E10000012,ESSEX,ESSEX,ESSEX
E07000070,CHELMSFORD,E10000012,ESSEX,ESSEX,ESSEX
E07000071,COLCHESTER,E10000012,ESSEX,ESSEX,ESSEX
E07000072,EPPING FOREST,E10000012,ESSEX,ESSEX,ESSEX
E07000073,HARLOW,E10000012,ESSEX,ESSEX,ESSEX
E07000074,MALDON,E10000012,ESSEX,ESSEX,ESSEX
E07000075,ROCHFORD,E10000012,ESSEX,ESSEX,ESSEX
E07000076,TENDRING,E10000012,ESSEX,ESSEX,ESSEX
E07000077,UTTLESFORD,E10000012,ESSEX,ESSEX,ESSEX
S12000014,FALKIRK,S12000014,FALKIRK,FALKIRK,FALKIRK
N09000006,FERMANAGH AND OMAGH,N09000006,FERMANAGH AND OMAGH,FERMANAGH_AND_OMAGH,FERMANAGH_AND_OMAGH
S12000047,FIFE,S12000047,FIFE,FIFE,FIFE
S12000049,GLASGOW CITY,S12000049,GLASGOW CITY,GLASGOW,GLASGOW
E06000025,SOUTH GLOUCESTERSHIRE,E06000025,SOUTH GLOUCESTERSHIRE,SOUTH_GLOUCESTERSHIRE,GLOUCESTERSHIRE
E07000078,CHELTENHAM,E10000013,GLOUCESTERSHIRE,GLOUCESTERSHIRE,GLOUCESTERSHIRE
E07000079,COTSWOLD,E10000013,GLOUCESTERSHIRE,GLOUCESTERSHIRE,GLOUCESTERSHIRE
E07000080,FOREST OF DEAN,E10000013,GLOUCESTERSHIRE,GLOUCESTERSHIRE,GLOUCESTERSHIRE
E07000081,GLOUCESTER,E10000013,GLOUCESTERSHIRE,GLOUCESTERSHIRE,GLOUCESTERSHIRE
E07000082,STROUD,E10000013,GLOUCESTERSHIRE,GLOUCESTERSHIRE,GLOUCESTERSHIRE
E07000083,TEWKESBURY,E10000013,GLOUCESTERSHIRE,GLOUCESTERSHIRE,GLOUCESTERSHIRE
E09000001,CITY OF LONDON,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000002,BARKING AND DAGENHAM,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000003,BARNET,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000004,BEXLEY,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000005,BRENT,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000006,BROMLEY,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000007,CAMDEN,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000008,CROYDON,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000009,EALING,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000010,ENFIELD,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000011,GREENWICH,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000012,HACKNEY,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000013,HAMMERSMITH AND FULHAM,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000014,HARINGEY,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000015,HARROW,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000016,HAVERING,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000017,HILLINGDON,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000018,HOUNSLOW,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000019,ISLINGTON,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000020,KENSINGTON AND CHELSEA,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000021,KINGSTON UPON THAMES,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000022,LAMBETH,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000023,LEWISHAM,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000024,MERTON,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000025,NEWHAM,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000026,REDBRIDGE,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000027,RICHMOND UPON THAMES,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000028,SOUTHWARK,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000029,SUTTON,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000030,TOWER HAMLETS,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000031,WALTHAM FOREST,E13000002,OUTER LONDON,GREATER_LONDON,GREATER_LONDON
E09000032,WANDSWORTH,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E09000033,WESTMINSTER,E13000001,INNER LONDON,GREATER_LONDON,GREATER_LONDON
E08000001,BOLTON,E11000001,GREATER MANCHESTER,BOLTON,GREATER_MANCHESTER
E08000002,BURY,E11000001,GREATER MANCHESTER,BURY,GREATER_MANCHESTER
E08000003,MANCHESTER,E11000001,GREATER MANCHESTER,MANCHESTER,GREATER_MANCHESTER
E08000004,OLDHAM,E11000001,GREATER MANCHESTER,OLDHAM,GREATER_MANCHESTER
E08000005,ROCHDALE,E11000001,GREATER MANCHESTER,ROCHDALE,GREATER_MANCHESTER
E08000006,SALFORD,E11000001,GREATER MANCHESTER,SALFORD,GREATER_MANCHESTER
E08000007,STOCKPORT,E11000001,GREATER MANCHESTER,STOCKPORT,GREATER_MANCHESTER
E08000008,TAMESIDE,E11000001,GREATER MANCHESTER,TAMESIDE,GREATER_MANCHESTER
E08000009,TRAFFORD,E11000001,GREATER MANCHESTER,TRAFFORD,GREATER_MANCHESTER
E08000010,WIGAN,E11000001,GREATER MANCHESTER,WIGAN,GREATER_MANCHESTER
